category_id,category_code
2053013562720256823,computers.desktop
2053013562753811257,apparel.skirt
2053013562778977083,sport.ski
2053013562837697343,sport.ski
2053013562871251777,apparel.dress
2053013562913194819,sport.ski
2053013562946749253,appliances.personal.scales
2053013562971915079,appliances.personal.hair_cutter
2053013563097744201,appliances.personal.hair_cutter
2053013563139687243,apparel.shoes
2053013563173241677,apparel.shoes
2053013563215184719,apparel.shoes
2053013563248739153,apparel.shoes
2053013563273904979,construction.tools.welding
2053013563307459413,apparel.shoes
2053013563332625239,apparel.shoes
2053013563366179673,apparel.glove
2053013563391345499,apparel.glove
2053013563424899933,apparel.underwear
2053013563450065759,apparel.shoes
2053013563483620193,appliances.kitchen.fryer
2053013563517174627,sport.ski
2053013563550729061,sport.ski
2053013563584283495,sport.ski
2053013563693335403,sport.ski
2053013563718501229,computers.components.cooler
2053013563743667055,appliances.kitchen.hood
2053013563768832881,apparel.costume
2053013563810775923,appliances.kitchen.washer
2053013563835941749,appliances.kitchen.refrigerators
2053013563877884791,appliances.kitchen.hob
2053013563911439225,appliances.kitchen.refrigerators
2053013563944993659,appliances.kitchen.dishwasher
2053013563970159485,appliances.kitchen.refrigerators
2053013564003713919,appliances.kitchen.oven
2053013564028879745,accessories.umbrella
2053013564062434179,apparel.scarf
2053013564087600005,apparel.tshirt
2053013564154708873,apparel.jumper
2053013564221817741,apparel.jeans
2053013564490253213,sport.snowboard
2053013564523807647,sport.trainer
2053013564557362081,furniture.kitchen.table
2053013564599305123,sport.trainer
2053013564641248165,construction.tools.screw
2053013564674802599,sport.trainer
2053013564699968425,apparel.shirt
2053013564741911467,apparel.shirt
2053013564918072245,apparel.pajamas
2053013564968403895,appliances.kitchen.fryer
2053013565001958329,apparel.shoes
2053013565043901371,apparel.shoes
2053013565069067197,apparel.shoes.keds
2053013565127787455,apparel.shoes
2053013565152953281,apparel.shoes.step_ins
2053013565194896323,apparel.shoes.sandals
2053013565228450757,apparel.shoes
2053013565253616583,apparel.shoes.moccasins
2053013565329114057,apparel.shoes.slipons
2053013565362668491,apparel.shoes.keds
2053013565413000141,apparel.shoes.slipons
2053013565446554575,apparel.shoes.keds
2053013565480109009,apparel.shoes.keds
2053013565505274835,apparel.shoes.espadrilles
2053013565547217877,accessories.bag
2053013565589160919,apparel.pajamas
2053013565639492569,apparel.shoes
2053013565681435611,apparel.shoes.sandals
2053013565706601437,apparel.shoes.moccasins
2053013565748544479,apparel.shoes
2053013565782098913,apparel.shoes
2053013565824041955,apparel.shoes.sandals
2053013565857596389,apparel.shoes.ballet_shoes
2053013565882762215,apparel.jumper
2053013565916316649,appliances.personal.massager
2053013565941482475,appliances.personal.massager
2053013565983425517,appliances.environment.vacuum
