brand,date,price
apple,2019-10-19,112736808.84
apple,2019-10-20,117767407.17
apple,2019-10-21,106875041.19
apple,2019-10-22,105713556.01
apple,2019-10-23,103357429.6
apple,2019-10-24,101356066.47
apple,2019-10-25,99117580.91
apple,2019-10-26,95565722.53
apple,2019-10-27,102453977.24
apple,2019-10-28,86237347.69
apple,2019-10-29,86533789.79
apple,2019-10-30,89214037.24
apple,2019-10-31,94725096.76
arg,2019-10-16,33187.72
arg,2019-10-17,58802.16
arg,2019-10-18,49011.02
arg,2019-10-19,57480.77
arg,2019-10-20,46528.26
arg,2019-10-21,54527.85
arg,2019-10-22,62035.86
arg,2019-10-23,91578.13
arg,2019-10-24,115688.71
arg,2019-10-25,125571.45
arg,2019-10-26,117978.49
arg,2019-10-27,164074.56
arg,2019-10-28,42438.97
arg,2019-10-29,59900.01
arg,2019-10-30,45289.47
arg,2019-10-31,64738.41
aria,2019-10-01,2881.39
aria,2019-10-02,3130.35
aria,2019-10-03,1738.23
aria,2019-10-04,1043.1
aria,2019-10-05,1210.52
aria,2019-10-06,1847.59
aria,2019-10-07,2504.1099999999997
aria,2019-10-08,2485.17
aria,2019-10-09,2372.88
aria,2019-10-10,1556.82
aria,2019-10-11,6150.99
aria,2019-10-12,3155.55
aria,2019-10-13,3242.24
aria,2019-10-14,3281.32
aria,2019-10-15,4219.62
aria,2019-10-16,3788.55
aria,2019-10-17,2670.25
aria,2019-10-18,4576.39
aria,2019-10-19,6178.12
aria,2019-10-20,3270.1
aria,2019-10-21,5075.31
aria,2019-10-22,3348.4100000000003
aria,2019-10-23,5574.93
aria,2019-10-24,5943.42
aria,2019-10-25,4252.54
aria,2019-10-26,2201.71
aria,2019-10-27,2657.3
aria,2019-10-28,2043.37
aria,2019-10-29,3180.4
aria,2019-10-30,10946.74
aria,2019-10-31,1649.09
ark,2019-10-01,540.54
ark,2019-10-02,308.88
ark,2019-10-03,77.22
ark,2019-10-04,154.44
ark,2019-10-05,154.44
ark,2019-10-06,231.66
ark,2019-10-07,231.66
ark,2019-10-08,154.44
ark,2019-10-09,398.95
ark,2019-10-10,463.32
ark,2019-10-11,231.66
ark,2019-10-12,386.1
ark,2019-10-16,180.14
ark,2019-10-17,154.44
ark,2019-10-18,77.22
ark,2019-10-20,77.22
ark,2019-10-23,77.22
ark,2019-10-24,154.44
ark,2019-10-25,77.22
ark,2019-10-27,77.22
ark,2019-10-28,231.66
ark,2019-10-30,231.66
armani,2019-10-01,124006.22
armani,2019-10-02,96037.87
armani,2019-10-03,143903.69
armani,2019-10-04,93667.08
armani,2019-10-05,134188.3
armani,2019-10-06,127887.4
armani,2019-10-07,90509.12
armani,2019-10-08,150490.17
armani,2019-10-09,160256.92
armani,2019-10-10,121816.24
armani,2019-10-11,159077.33000000002
armani,2019-10-12,133083.99
armani,2019-10-13,151122.8
armani,2019-10-14,117925.55
armani,2019-10-15,144113.73
armani,2019-10-16,148852.80000000002
armani,2019-10-17,115596.09
armani,2019-10-18,135430.99
armani,2019-10-19,127053.75
armani,2019-10-20,147839.78
armani,2019-10-21,121968.2
armani,2019-10-22,139824.61000000002
armani,2019-10-23,101497.3
armani,2019-10-24,95949.0
armani,2019-10-25,131239.76
armani,2019-10-26,117601.01
armani,2019-10-27,99545.29
armani,2019-10-28,112648.75
armani,2019-10-29,74395.22
armani,2019-10-30,111225.51
armani,2019-10-31,111724.97
artel,2019-10-01,853784.6
artel,2019-10-02,898483.02
artel,2019-10-03,791475.77
artel,2019-10-04,1226207.9
artel,2019-10-05,1041619.79
artel,2019-10-06,1049972.19
artel,2019-10-07,901416.33
artel,2019-10-08,1010362.61
artel,2019-10-09,939295.55
artel,2019-10-10,942357.94
artel,2019-10-11,1165528.5
artel,2019-10-12,1290136.92
artel,2019-10-13,1427253.69
artel,2019-10-14,1138003.24
artel,2019-10-15,1247700.56
artel,2019-10-16,1246870.35
artel,2019-10-17,1143292.15
artel,2019-10-18,1206423.45
artel,2019-10-19,1207404.43
artel,2019-10-20,1277079.19
artel,2019-10-21,1117460.59
